[INFO]:2022-07-23 14:35:10,695:root:We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 14:35:10,711:root:the extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 14:35:31,907:root:We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 14:35:31,907:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 14:58:51,932:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 14:58:51,932:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 16:50:43,063:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 16:50:43,063:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 16:50:43,070:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 16:50:43,070:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 16:51:45,924:root: We are about slice the given string in positive direction with a jump of 3
[ERROR]:2022-07-23 16:51:45,925:root: Entered value is not a string. 
[INFO]:2022-07-23 16:51:45,925:root: We are about to reverse the given string. 
[ERROR]:2022-07-23 16:51:45,925:root: Entered value is not a string. 
[INFO]:2022-07-23 16:56:58,797:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 16:56:58,798:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 16:56:58,798:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 16:56:58,798:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 17:24:59,705:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 17:24:59,706:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 17:24:59,706:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 17:24:59,706:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 17:25:18,198:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 17:25:18,199:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 17:25:18,199:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 17:25:18,199:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 17:25:18,199:root: We are about to convert str in to lower case and then split it
[ERROR]:2022-07-23 17:25:18,199:root:can only concatenate str (not "list") to str
[INFO]:2022-07-23 17:26:41,456:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 17:26:41,456:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 17:26:41,457:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 17:26:41,457:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 17:26:41,457:root: We are about to convert str in to lower case and then split it
[ERROR]:2022-07-23 17:26:41,457:root:can only concatenate str (not "list") to str
[INFO]:2022-07-23 17:27:46,057:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 17:27:46,057:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 17:27:46,057:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 17:27:46,057:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
[INFO]:2022-07-23 17:27:46,058:root: We are about to convert str in to lower case and then split it
[ERROR]:2022-07-23 17:27:46,058:root:can only concatenate str (not "list") to str
[INFO]:2022-07-23 17:28:50,786:root: We are about slice the given string in positive direction with a jump of 3
[DEBUG]:2022-07-23 17:28:50,786:root: The extracted value is : T toCn  li  ldsclao
[INFO]:2022-07-23 17:28:50,786:root: We are about to reverse the given string. 
[DEBUG]:2022-07-23 17:28:50,786:root: The extracted value is : noitareleccA sa dellac si yticoleV fo egnahC fo etaR ehT
